iter	Passed	Remaining
403	9548	4632
404	9576	4610
405	9600	4587
406	9619	4561
407	9647	4540
408	9671	4516
409	9697	4493
410	9724	4471
411	9744	4446
412	9770	4423
413	9795	4400
414	9818	4376
415	9837	4351
416	9861	4327
417	9892	4307
418	9915	4283
419	9941	4260
420	9962	4235
421	9985	4212
422	10011	4189
423	10030	4163
424	10050	4138
425	10072	4114
426	10099	4091
427	10126	4069
428	10152	4046
429	10178	4024
430	10202	4000
431	10229	3978
432	10254	3955
433	10277	3930
434	10301	3907
435	10325	3883
436	10350	3860
437	10376	3837
438	10401	3814
439	10424	3790
440	10448	3767
441	10471	3743
442	10493	3718
443	10516	3694
444	10538	3670
445	10561	3646
446	10586	3623
447	10605	3598
448	10628	3574
449	10651	3550
450	10676	3527
451	10700	3503
452	10726	3480
453	10752	3457
454	10774	3433
455	10797	3409
456	10820	3385
457	10839	3360
458	10861	3336
459	10883	3312
460	10905	3288
461	10928	3264
462	10953	3241
463	10980	3218
464	11012	3197
465	11035	3173
466	11060	3149
467	11084	3126
468	11109	3103
469	11138	3080
470	11158	3056
471	11187	3033
472	11211	3010
473	11238	2987
474	11262	2963
475	11287	2940
476	11315	2917
477	11339	2894
478	11364	2870
479	11387	2846
480	11412	2823
481	11435	2799
482	11456	2775
483	11479	2751
484	11498	2726
485	11520	2702
486	11544	2678
487	11567	2654
488	11592	2631
489	11621	2608
490	11646	2585
491	11671	2561
492	11697	2538
493	11724	2515
494	11748	2492
495	11774	2468
496	11794	2444
497	11819	2420
498	11840	2396
499	11864	2372
500	11890	2349
501	11917	2326
502	11939	2302
503	11966	2279
504	11987	2255
505	12014	2231
506	12039	2208
507	12064	2184
508	12085	2160
509	12108	2136
510	12132	2113
511	12155	2089
512	12177	2065
513	12197	2040
514	12219	2016
515	12241	1992
516	12265	1969
517	12288	1945
518	12313	1921
519	12335	1897
520	12357	1873
521	12381	1850
522	12407	1826
523	12431	1802
524	12453	1779
525	12480	1755
526	12504	1732
527	12524	1707
528	12557	1685
529	12587	1662
530	12615	1639
531	12638	1615
532	12665	1592
533	12689	1568
534	12714	1544
535	12738	1520
536	12762	1497
537	12786	1473
538	12808	1449
539	12830	1425
540	12857	1402
541	12884	1378
542	12908	1355
543	12934	1331
544	12954	1307
545	12976	1283
546	12995	1259
547	13018	1235
548	13040	1211
549	13064	1187
550	13092	1164
551	13117	1140
552	13140	1116
553	13164	1093
554	13185	1069
555	13209	1045
556	13236	1021
557	13260	998
558	13286	974
559	13311	950
560	13337	927
561	13361	903
562	13385	879
563	13409	855
564	13431	832
565	13454	808
566	13480	784
567	13503	760
568	13530	737
569	13555	713
570	13576	689
571	13597	665
572	13617	641
573	13640	617
574	13661	593
575	13683	570
576	13707	546
577	13732	522
578	13756	498
579	13782	475
580	13805	451
581	13829	427
582	13849	403
583	13876	380
584	13899	356
585	13923	332
586	13948	308
587	13967	285
588	13994	261
589	14020	237
590	14042	213
591	14064	190
592	14098	166
593	14123	142
594	14143	118
595	14164	95
596	14188	71
597	14210	47
598	14235	23
599	14257	0
