iter	RMSE
353	171.1025823
354	171.0229561
355	170.9873207
356	170.8175177
357	170.6933329
358	170.6003531
359	170.5142692
360	170.4126105
361	170.3109964
362	170.2357629
363	170.1539244
364	170.064374
365	169.9989997
366	169.9030706
367	169.8019428
368	169.6943449
369	169.6330678
370	169.5292749
371	169.4897502
372	169.4137176
373	169.3014482
374	169.195495
375	169.1106813
376	169.0241231
377	168.9458071
378	168.8583747
379	168.8161313
380	168.7646711
381	168.6675539
382	168.5744669
383	168.4969101
384	168.4186431
385	168.3652025
386	168.2913757
387	168.2531337
388	168.1740976
389	168.0809836
390	167.9837558
391	167.9026477
392	167.8159847
393	167.7050987
394	167.6606851
395	167.6274507
396	167.5726055
397	167.5141229
398	167.4354874
399	167.3254909
400	167.2461349
401	167.1566468
402	167.1273877
403	167.055266
404	166.9810434
405	166.9319109
406	166.8690815
407	166.7956677
408	166.6884767
409	166.6424112
410	166.5875123
411	166.5209262
412	166.4479581
413	166.3676561
414	166.3223726
415	166.2625505
416	166.2120588
417	166.1301667
418	166.0840846
419	166.0129235
420	165.9574777
421	165.8826911
422	165.8429473
423	165.7743914
424	165.6760286
425	165.606426
426	165.5646003
427	165.5171798
428	165.4219981
429	165.3522002
430	165.2849235
431	165.2006213
432	165.1624126
433	165.0739151
434	165.0408385
435	164.9582911
436	164.9135142
437	164.8675621
438	164.8409148
439	164.8004689
440	164.7101709
441	164.6561223
442	164.6121068
443	164.5926913
444	164.4933966
445	164.4793432
446	164.4641684
447	164.4023235
448	164.3392613
449	164.3021461
450	164.256759
451	164.2157343
452	164.0957286
453	164.0835507
454	164.0339373
455	163.9933567
456	163.8958921
457	163.7898324
458	163.7272961
459	163.6367046
460	163.5666519
461	163.5090875
462	163.4409898
463	163.3881844
464	163.3269902
465	163.2261301
466	163.2035739
467	163.1578734
468	163.1010456
469	163.093279
470	162.9922001
471	162.9665225
472	162.9142547
473	162.8696411
474	162.832821
475	162.7771805
476	162.6761194
477	162.6048124
478	162.5723816
479	162.5496311
480	162.5040509
481	162.4552113
482	162.4005565
483	162.3184658
484	162.2515116
485	162.21992
486	162.1507094
487	162.1196379
488	162.0657789
489	162.0195424
490	161.9662095
491	161.8896218
492	161.8414804
493	161.7324891
494	161.7187484
495	161.6765549
496	161.6440673
497	161.6108504
498	161.5167748
499	161.4828225
500	161.4335341
501	161.379238
502	161.3137829
503	161.2520247
504	161.1599291
505	161.1281788
506	161.1182285
507	161.1052694
508	161.0549282
509	160.9779394
510	160.917894
511	160.8654831
512	160.806373
513	160.7513623
514	160.7245946
515	160.6442001
516	160.6002923
517	160.5041129
518	160.4662325
519	160.4318797
520	160.41331
521	160.3453182
522	160.2712008
523	160.2378456
524	160.2085637
525	160.1121518
526	160.0726358
527	160.015695
528	159.9598437
529	159.9349462
530	159.8895145
531	159.8528972
532	159.7756951
533	159.7509515
534	159.7185137
